version,date,num_downloads
0.5.0,2023-12-18 00:00:00+00:00,125
0.5.0,2023-12-19 00:00:00+00:00,27
0.4.0,2023-11-29 00:00:00+00:00,101
0.4.0,2023-11-30 00:00:00+00:00,46
0.4.0,2023-12-01 00:00:00+00:00,7
0.4.0,2023-12-02 00:00:00+00:00,11
0.4.0,2023-12-03 00:00:00+00:00,4
0.4.0,2023-12-04 00:00:00+00:00,18
0.4.0,2023-12-05 00:00:00+00:00,4
0.4.0,2023-12-06 00:00:00+00:00,23
0.4.0,2023-12-07 00:00:00+00:00,11
0.4.0,2023-12-08 00:00:00+00:00,2
0.4.0,2023-12-09 00:00:00+00:00,2
0.4.0,2023-12-11 00:00:00+00:00,6
0.4.0,2023-12-12 00:00:00+00:00,19
0.4.0,2023-12-13 00:00:00+00:00,21
0.4.0,2023-12-14 00:00:00+00:00,9
0.4.0,2023-12-15 00:00:00+00:00,5
0.4.0,2023-12-16 00:00:00+00:00,5
0.4.0,2023-12-17 00:00:00+00:00,9
0.4.0,2023-12-18 00:00:00+00:00,29
0.4.0,2023-12-19 00:00:00+00:00,3
0.3.0,2023-11-19 00:00:00+00:00,6
0.3.0,2023-11-20 00:00:00+00:00,4
0.3.0,2023-11-21 00:00:00+00:00,4
0.3.0,2023-11-22 00:00:00+00:00,5
0.3.0,2023-11-23 00:00:00+00:00,6
0.3.0,2023-11-24 00:00:00+00:00,7
0.3.0,2023-11-25 00:00:00+00:00,7
0.3.0,2023-11-26 00:00:00+00:00,10
0.3.0,2023-11-27 00:00:00+00:00,3
0.3.0,2023-11-28 00:00:00+00:00,2
0.3.0,2023-11-29 00:00:00+00:00,12
0.3.0,2023-11-30 00:00:00+00:00,11
0.3.0,2023-12-01 00:00:00+00:00,2
0.3.0,2023-12-02 00:00:00+00:00,2
0.3.0,2023-12-03 00:00:00+00:00,2
0.3.0,2023-12-04 00:00:00+00:00,7
0.3.0,2023-12-06 00:00:00+00:00,14
0.3.0,2023-12-07 00:00:00+00:00,4
0.3.0,2023-12-08 00:00:00+00:00,1
0.3.0,2023-12-10 00:00:00+00:00,1
0.3.0,2023-12-11 00:00:00+00:00,5
0.3.0,2023-12-12 00:00:00+00:00,2
0.3.0,2023-12-13 00:00:00+00:00,6
0.3.0,2023-12-14 00:00:00+00:00,1
0.3.0,2023-12-15 00:00:00+00:00,2
0.3.0,2023-12-16 00:00:00+00:00,2
0.3.0,2023-12-17 00:00:00+00:00,7
0.3.0,2023-12-18 00:00:00+00:00,2
0.2.1,2023-11-19 00:00:00+00:00,4
0.2.1,2023-11-20 00:00:00+00:00,2
0.2.1,2023-11-22 00:00:00+00:00,2
0.2.1,2023-11-23 00:00:00+00:00,6
0.2.1,2023-11-24 00:00:00+00:00,3
0.2.1,2023-11-25 00:00:00+00:00,5
0.2.1,2023-11-26 00:00:00+00:00,2
0.2.1,2023-11-27 00:00:00+00:00,4
0.2.1,2023-11-28 00:00:00+00:00,1
0.2.1,2023-11-29 00:00:00+00:00,4
0.2.1,2023-11-30 00:00:00+00:00,13
0.2.1,2023-12-01 00:00:00+00:00,2
0.2.1,2023-12-02 00:00:00+00:00,2
0.2.1,2023-12-03 00:00:00+00:00,2
0.2.1,2023-12-04 00:00:00+00:00,4
0.2.1,2023-12-06 00:00:00+00:00,8
0.2.1,2023-12-07 00:00:00+00:00,4
0.2.1,2023-12-13 00:00:00+00:00,3
0.2.1,2023-12-14 00:00:00+00:00,1
0.2.1,2023-12-15 00:00:00+00:00,2
0.2.1,2023-12-16 00:00:00+00:00,2
0.2.1,2023-12-17 00:00:00+00:00,5
0.2.0,2023-11-19 00:00:00+00:00,5
0.2.0,2023-11-20 00:00:00+00:00,2
0.2.0,2023-11-21 00:00:00+00:00,1
0.2.0,2023-11-22 00:00:00+00:00,2
0.2.0,2023-11-23 00:00:00+00:00,4
0.2.0,2023-11-24 00:00:00+00:00,3
0.2.0,2023-11-25 00:00:00+00:00,5
0.2.0,2023-11-26 00:00:00+00:00,2
0.2.0,2023-11-27 00:00:00+00:00,4
0.2.0,2023-11-28 00:00:00+00:00,1
0.2.0,2023-11-29 00:00:00+00:00,4
0.2.0,2023-11-30 00:00:00+00:00,8
0.2.0,2023-12-01 00:00:00+00:00,2
0.2.0,2023-12-02 00:00:00+00:00,2
0.2.0,2023-12-03 00:00:00+00:00,2
0.2.0,2023-12-04 00:00:00+00:00,2
0.2.0,2023-12-06 00:00:00+00:00,8
0.2.0,2023-12-07 00:00:00+00:00,3
0.2.0,2023-12-13 00:00:00+00:00,3
0.2.0,2023-12-14 00:00:00+00:00,1
0.2.0,2023-12-15 00:00:00+00:00,2
0.2.0,2023-12-16 00:00:00+00:00,2
0.2.0,2023-12-17 00:00:00+00:00,3
0.1.6,2023-11-19 00:00:00+00:00,4
0.1.6,2023-11-23 00:00:00+00:00,4
0.1.6,2023-11-24 00:00:00+00:00,2
0.1.6,2023-11-25 00:00:00+00:00,3
